Simulator Results
Date:, Fri Sep 04 18:16:28 CEST 2026

Simulator Configuration
Simulation Type:,Terminating
Project Name:,ADVISE_Car_Attack
Study Name:,CarStudy
Random Number Generator:,Mersenne Twister
Random Number Seed:,31415
Maximum Batches:,10000
Minimum Batches:,1000
Data Reporting Frequency:,1000
Display Update Frequency:,1000
BuildType:,Normal
Execution Architecture:,64-bit
Runname:,Results
Output File:,Results_output.txt
Results File:,Results_results
Jackknife Variance:,On
Processors Per Experiment:,1
Maximize Processor Usage:,true
Processors Selected for Simulation:
student-VirtualBox,amd64

Experiment 3419
Experiment 3419,Start Time:,Fri Sep 04 18:16:07 CEST 2026
Experiment 3419,Finish Time:,Fri Sep 04 18:16:09 CEST 2026
Experiment 3419,Elapsed Running Time:,2.537
Experiment 3419,Total CPU Time:,1.30742
Experiment 3419,Batches Completed:,1000
Experiment 3419,Experiment Name:,Experiment 3419
Experiment 3419,Global Variable Settings:
Experiment 3419,short,CANExtractionSkillThreshold,250
Experiment 3419,short,CANSpoofingSkillThreshold,350
Experiment 3419,short,FlashingSkillExpertise,800
Experiment 3419,short,OEMSpoofingSkillThreshold,450
Experiment 3419,short,chipFlashingSkillLevel,750
Experiment 3419,short,chipFlashingSkillThreshold,700
Experiment 3419,short,dataExtractionSkillLevel,1000
Experiment 3419,bool,hasCarModelKnowledge,1
Experiment 3419,bool,hasMessageFormatKnowledge,1
Experiment 3419,bool,hasProximityAccess,0
Experiment 3419,bool,hasRemoteNetworkAccess,1
Experiment 3419,bool,hasV2XProtocolKnowledge,1
Experiment 3419,short,injectionSkillLevel,1000
Experiment 3419,short,injectionSkillThreshold,500
Experiment 3419,short,remoteExtractionSkillThreshold,300
Experiment 3419,short,spoofingSkillLevel,1000
Experiment 3419,short,v2XPacketCraftingSkillLevel,1000
Experiment 3419,short,v2XPacketCraftingSkillThreshold,300
Experiment 3419, Results
Experiment 3419,Result Type,Name,Start Time,End Time,Mean,,Confidence Interval,Failed To Converge
Experiment 3419,Mean,StealData,37.0,37.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,38.0,38.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,39.0,39.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,40.0,40.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,41.0,41.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,42.0,42.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,43.0,43.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,44.0,44.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,45.0,45.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,46.0,46.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,47.0,47.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,48.0,48.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,49.0,49.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,50.0,50.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,51.0,51.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,52.0,52.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,53.0,53.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,54.0,54.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,55.0,55.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,56.0,56.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,57.0,57.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,58.0,58.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,59.0,59.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,60.0,60.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,61.0,61.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,62.0,62.0,1.0000000000E00 ,+/-,0.0000000000E00 
Experiment 3419,Mean,StealData,63.0,63.0,1.0000000000E00 ,+/-,0.0000000000E00 
